M142,B1,SE1,10/12/2017,,T1,T9,1,3,A,0,1,A
M143,B1,SE1,10/12/2017,,T2,T266,3,1,H,3,0,H
M144,B1,SE1,10/12/2017,,T15,T5,1,1,D,0,1,A
M145,B1,SE1,15/12/2017,,T14,T4,1,0,H,0,0,D
M146,B1,SE1,16/12/2017,,T16,T15,0,0,D,0,0,D
M147,B1,SE1,16/12/2017,,T6,T12,2,0,H,2,0,H
M148,B1,SE1,16/12/2017,,T266,T8,1,1,D,0,0,D
M149,B1,SE1,16/12/2017,,T11,T7,0,0,D,0,0,D
M150,B1,SE1,17/12/2017,,T9,T13,1,1,D,0,0,D
M151,B1,SE1,17/12/2017,,T2,T1,5,0,H,2,0,H
M152,B1,SE1,17/12/2017,,T5,T10,1,2,A,0,2,A
M153,B1,SE1,20/12/2017,,T12,T2,0,3,A,0,2,A
M154,B1,SE1,21/12/2017,,T10,T266,1,2,A,0,1,A
M155,B1,SE1,21/12/2017,,T7,T9,1,0,H,0,0,D
M156,B1,SE1,22/12/2017,,T1,T16,1,0,H,1,0,H
M157,B1,SE1,22/12/2017,,T8,T4,1,3,A,0,1,A
M158,B1,SE1,23/12/2017,,T13,T6,2,3,A,0,1,A
M159,B1,SE1,23/12/2017,,T14,T5,2,1,H,1,1,D
M160,B1,SE1,23/12/2017,,T11,T15,1,1,D,0,0,D
M161,B1,SE1,26/12/2017,,T1,T7,1,0,H,0,0,D
M162,B1,SE1,26/12/2017,,T2,T14,4,2,H,0,1,A
M163,B1,SE1,26/12/2017,,T16,T8,1,0,H,0,0,D
M164,B1,SE1,26/12/2017,,T266,T12,2,0,H,0,0,D
M165,B1,SE1,26/12/2017,,T5,T9,0,4,A,0,2,A
M166,B1,SE1,27/12/2017,,T6,T11,2,1,H,0,0,D
M167,B1,SE1,27/12/2017,,T15,T10,0,3,A,0,2,A
M168,B1,SE1,16/01/2018,,T4,T13,1,2,A,0,1,A
M169,B1,SE1,19/01/2018,,T9,T14,2,0,H,1,0,H
M170,B1,SE1,20/01/2018,,T12,T5,0,2,A,0,0,D
M171,B1,SE1,20/01/2018,,T4,T6,2,1,H,2,1,H
M172,B1,SE1,20/01/2018,,T11,T16,3,2,H,2,2,D
M173,B1,SE1,20/01/2018,,T8,T15,3,1,H,2,1,H
M174,B1,SE1,21/01/2018,,T10,T2,2,2,D,2,0,H
M175,B1,SE1,21/01/2018,,T13,T1,0,1,A,0,1,A
M176,B1,SE1,21/01/2018,,T7,T266,3,0,H,1,0,H
M177,B1,SE1,23/01/2018,,T14,T6,0,3,A,0,0,D
M178,B1,SE1,23/01/2018,,T15,T12,2,0,H,1,0,H
M179,B1,SE1,23/01/2018,,T5,T11,2,1,H,1,0,H
M180,B1,SE1,24/01/2018,,T1,T8,2,2,D,1,1,D
M181,B1,SE1,24/01/2018,,T10,T7,1,1,D,1,1,D
M182,B1,SE1,24/01/2018,,T16,T9,1,0,H,1,0,H
M183,B1,SE1,24/01/2018,,T266,T13,1,2,A,0,0,D
M184,B1,SE1,25/01/2018,,T2,T4,3,2,H,2,0,H
M185,B1,SE1,26/01/2018,,T12,T14,0,2,A,0,1,A
M186,B1,SE1,27/01/2018,,T9,T10,1,1,D,0,1,A
M187,B1,SE1,27/01/2018,,T13,T15,1,1,D,0,0,D
M188,B1,SE1,27/01/2018,,T6,T16,0,0,D,0,0,D
M189,B1,SE1,27/01/2018,,T8,T5,2,2,D,1,0,H
M190,B1,SE1,28/01/2018,,T7,T2,2,0,H,0,0,D
M191,B1,SE1,28/01/2018,,T4,T266,2,3,A,1,1,D
M192,B1,SE1,28/01/2018,,T11,T1,3,3,D,2,3,A
M193,B1,SE1,02/02/2018,,T10,T8,1,2,A,1,1,D
M194,B1,SE1,03/02/2018,,T16,T7,1,1,D,1,0,H
M195,B1,SE1,03/02/2018,,T266,T11,0,3,A,0,1,A
M196,B1,SE1,03/02/2018,,T14,T13,0,1,A,0,0,D
M197,B1,SE1,03/02/2018,,T15,T6,0,2,A,0,1,A
M198,B1,SE1,04/02/2018,,T1,T12,2,2,D,1,2,A
M199,B1,SE1,04/02/2018,,T2,T9,3,3,D,1,2,A
M200,B1,SE1,04/02/2018,,T5,T4,1,1,D,1,1,D
M201,B1,SE1,09/02/2018,,T13,T5,3,1,H,1,1,D
M202,B1,SE1,10/02/2018,,T7,T15,3,0,H,1,0,H
M203,B1,SE1,10/02/2018,,T6,T10,4,0,H,2,0,H
M204,B1,SE1,10/02/2018,,T12,T16,1,0,H,0,0,D
M205,B1,SE1,10/02/2018,,T4,T1,2,0,H,2,0,H
M206,B1,SE1,11/02/2018,,T9,T266,1,1,D,0,1,A
M207,B1,SE1,11/02/2018,,T11,T14,4,3,H,1,1,D
M208,B1,SE1,11/02/2018,,T8,T2,1,1,D,0,0,D
M209,B1,SE1,16/02/2018,,T15,T1,1,0,H,1,0,H
M210,B1,SE1,17/02/2018,,T10,T4,0,0,D,0,0,D
M211,B1,SE1,17/02/2018,,T2,T13,2,2,D,1,1,D
M212,B1,SE1,17/02/2018,,T266,T6,0,1,A,0,0,D
M213,B1,SE1,17/02/2018,,T5,T16,3,2,H,2,2,D
M214,B1,SE1,18/02/2018,,T9,T11,1,1,D,0,0,D
M215,B1,SE1,18/02/2018,,T7,T12,2,2,D,0,2,A
M216,B1,SE1,18/02/2018,,T14,T8,2,2,D,1,1,D
M217,B1,SE1,23/02/2018,,T13,T10,4,0,H,1,0,H
M218,B1,SE1,24/02/2018,,T16,T266,3,2,H,2,1,H
M219,B1,SE1,24/02/2018,,T12,T9,1,1,D,1,1,D
M220,B1,SE1,24/02/2018,,T4,T15,2,0,H,2,0,H
M221,B1,SE1,24/02/2018,,T8,T7,1,2,A,1,0,H
M222,B1,SE1,25/02/2018,,T1,T14,5,3,H,2,0,H
M223,B1,SE1,25/02/2018,,T6,T5,0,1,A,0,0,D
M224,B1,SE1,25/02/2018,,T11,T2,1,1,D,1,0,H
M225,B1,SE1,03/03/2018,,T10,T16,2,0,H,2,0,H
M226,B1,SE1,03/03/2018,,T9,T15,0,0,D,0,0,D
M227,B1,SE1,03/03/2018,,T2,T6,2,1,H,0,0,D
M228,B1,SE1,03/03/2018,,T7,T4,2,3,A,0,1,A
M229,B1,SE1,03/03/2018,,T14,T266,1,2,A,0,1,A
M230,B1,SE1,03/03/2018,,T11,T12,3,2,H,2,2,D
M231,B1,SE1,03/03/2018,,T8,T13,0,1,A,0,0,D
M232,B1,SE1,03/03/2018,,T5,T1,2,3,A,1,3,A
M233,B1,SE1,11/03/2018,,T1,T10,2,1,H,1,1,D
M234,B1,SE1,11/03/2018,,T16,T14,4,0,H,0,0,D
M235,B1,SE1,11/03/2018,,T13,T7,1,2,A,0,1,A
M236,B1,SE1,11/03/2018,,T6,T9,2,0,H,2,0,H
M237,B1,SE1,11/03/2018,,T266,T5,0,2,A,0,1,A
M238,B1,SE1,11/03/2018,,T12,T8,2,0,H,0,0,D
M239,B1,SE1,11/03/2018,,T4,T11,2,3,A,2,0,H
M240,B1,SE1,11/03/2018,,T15,T2,0,1,A,0,0,D
M241,B1,SE2,27/07/2018,,T11,T7,3,2,H,1,1,D
M242,B1,SE2,28/07/2018,,T6,T1,1,4,A,0,2,A
M243,B1,SE2,28/07/2018,,T4,T14,2,1,H,0,1,A
M244,B1,SE2,28/07/2018,,T15,T3,0,0,D,0,0,D
M245,B1,SE2,28/07/2018,,T5,T8,2,2,D,1,0,H
M246,B1,SE2,29/07/2018,,T9,T10,0,1,A,0,1,A
M247,B1,SE2,29/07/2018,,T2,T16,5,2,H,3,0,H
M248,B1,SE2,29/07/2018,,T266,T13,0,4,A,0,2,A
M249,B1,SE2,03/08/2018,,T8,T11,0,0,D,0,0,D
M250,B1,SE2,04/08/2018,,T10,T6,0,0,D,0,0,D
M251,B1,SE2,04/08/2018,,T3,T266,3,2,H,2,1,H
M252,B1,SE2,04/08/2018,,T16,T9,1,4,A,1,2,A
M253,B1,SE2,04/08/2018,,T7,T5,1,1,D,0,0,D
M254,B1,SE2,05/08/2018,,T1,T4,5,2,H,0,0,D
M255,B1,SE2,05/08/2018,,T13,T15,1,1,D,0,0,D
M256,B1,SE2,05/08/2018,,T14,T2,0,1,A,0,0,D
M257,B1,SE2,10/08/2018,,T2,T6,3,0,H,2,0,H
M258,B1,SE2,11/08/2018,,T14,T10,0,1,A,0,0,D
M259,B1,SE2,11/08/2018,,T15,T266,1,1,D,0,0,D
M260,B1,SE2,11/08/2018,,T11,T3,0,0,D,0,0,D
M261,B1,SE2,11/08/2018,,T5,T16,4,0,H,2,0,H
M262,B1,SE2,12/08/2018,,T9,T1,1,2,A,1,1,D
M263,B1,SE2,12/08/2018,,T7,T8,4,1,H,1,0,H
M264,B1,SE2,12/08/2018,,T4,T13,0,2,A,0,0,D
M265,B1,SE2,17/08/2018,,T1,T14,2,0,H,1,0,H
M266,B1,SE2,18/08/2018,,T3,T5,3,1,H,1,0,H
M267,B1,SE2,18/08/2018,,T6,T4,1,2,A,0,1,A
M268,B1,SE2,18/08/2018,,T266,T11,0,3,A,0,0,D
M269,B1,SE2,18/08/2018,,T8,T15,2,2,D,1,1,D
M270,B1,SE2,19/08/2018,,T10,T2,1,1,D,0,0,D
M271,B1,SE2,19/08/2018,,T16,T7,2,3,A,1,2,A
M272,B1,SE2,19/08/2018,,T13,T9,3,1,H,1,1,D
M273,B1,SE2,24/08/2018,,T4,T5,3,1,H,1,1,D
M274,B1,SE2,25/08/2018,,T10,T3,1,0,H,0,0,D
M275,B1,SE2,25/08/2018,,T9,T6,0,2,A,0,1,A
M276,B1,SE2,25/08/2018,,T14,T16,0,1,A,0,1,A
M277,B1,SE2,25/08/2018,,T11,T15,3,2,H,1,1,D
M278,B1,SE2,26/08/2018,,T2,T1,2,1,H,2,1,H
M279,B1,SE2,26/08/2018,,T13,T8,3,2,H,1,0,H
M280,B1,SE2,26/08/2018,,T7,T266,2,1,H,0,0,D
M281,B1,SE2,31/08/2018,,T5,T2,2,5,A,0,3,A
M282,B1,SE2,01/09/2018,,T9,T14,3,1,H,2,0,H
M283,B1,SE2,01/09/2018,,T16,T11,2,1,H,0,1,A
M284,B1,SE2,01/09/2018,,T266,T8,1,0,H,0,0,D
M285,B1,SE2,01/09/2018,,T15,T4,1,0,H,0,0,D
M286,B1,SE2,02/09/2018,,T1,T10,1,1,D,1,0,H
M287,B1,SE2,02/09/2018,,T3,T7,0,3,A,0,1,A
M288,B1,SE2,02/09/2018,,T6,T13,3,3,D,0,0,D
M289,B1,SE2,14/09/2018,,T2,T266,2,1,H,0,1,A
M290,B1,SE2,15/09/2018,,T13,T1,1,0,H,0,0,D
M291,B1,SE2,15/09/2018,,T4,T3,1,1,D,0,0,D
M292,B1,SE2,15/09/2018,,T11,T9,0,0,D,0,0,D
M293,B1,SE2,15/09/2018,,T8,T16,0,0,D,0,0,D
M294,B1,SE2,16/09/2018,,T10,T5,5,1,H,3,0,H
M295,B1,SE2,16/09/2018,,T7,T15,1,2,A,0,1,A
M296,B1,SE2,16/09/2018,,T14,T6,1,0,H,1,0,H
M297,B1,SE2,21/09/2018,,T5,T6,0,2,A,0,0,D
M298,B1,SE2,22/09/2018,,T16,T4,1,2,A,0,1,A
M299,B1,SE2,22/09/2018,,T266,T14,0,0,D,0,0,D
M300,B1,SE2,22/09/2018,,T15,T10,2,0,H,0,0,D
M301,B1,SE2,22/09/2018,,T8,T9,1,1,D,0,1,A
M302,B1,SE2,23/09/2018,,T1,T11,2,1,H,0,1,A
M303,B1,SE2,23/09/2018,,T3,T13,2,5,A,1,2,A
M304,B1,SE2,23/09/2018,,T7,T2,0,4,A,0,1,A
M305,B1,SE2,28/09/2018,,T6,T16,1,3,A,1,2,A
M306,B1,SE2,29/09/2018,,T9,T266,2,1,H,0,0,D
M307,B1,SE2,29/09/2018,,T2,T3,4,0,H,2,0,H
M308,B1,SE2,29/09/2018,,T13,T5,4,0,H,2,0,H
M309,B1,SE2,29/09/2018,,T14,T8,0,3,A,0,2,A
M310,B1,SE2,30/09/2018,,T1,T15,0,0,D,0,0,D
M311,B1,SE2,30/09/2018,,T10,T7,2,2,D,1,2,A
M312,B1,SE2,30/09/2018,,T4,T11,1,3,A,0,1,A
M313,B1,SE2,05/10/2018,,T3,T9,2,1,H,1,1,D
M314,B1,SE2,06/10/2018,,T16,T10,1,2,A,1,0,H
M315,B1,SE2,06/10/2018,,T266,T6,1,3,A,1,0,H
M316,B1,SE2,06/10/2018,,T15,T14,3,1,H,1,1,D
M317,B1,SE2,06/10/2018,,T8,T4,1,1,D,0,0,D
M318,B1,SE2,07/10/2018,,T7,T13,1,5,A,1,3,A
M319,B1,SE2,07/10/2018,,T11,T2,3,1,H,1,0,H
M320,B1,SE2,07/10/2018,,T5,T1,1,2,A,0,1,A
M321,B1,SE2,19/10/2018,,T2,T8,1,1,D,0,0,D
M322,B1,SE2,20/10/2018,,T10,T266,2,1,H,1,0,H
M323,B1,SE2,20/10/2018,,T13,T16,2,1,H,1,0,H
M324,B1,SE2,20/10/2018,,T6,T15,3,1,H,2,1,H
M325,B1,SE2,20/10/2018,,T14,T11,0,0,D,0,0,D
M326,B1,SE2,21/10/2018,,T1,T3,4,2,H,2,0,H
M327,B1,SE2,21/10/2018,,T9,T5,3,2,H,1,0,H
