S212,M106,Lokeren,7,4,2,,2,0
S213,M107,Mechelen,17,9,4,,3,0
S214,M107,Kortrijk,3,1,4,,2,0
S215,M108,St Truiden,10,6,4,,1,0
S216,M108,Eupen,9,5,4,,3,0
S217,M109,Waasland-Beveren,8,7,4,,3,0
S218,M109,Mouscron,14,6,4,,1,0
S219,M110,Anderlecht,11,4,4,,2,0
S220,M110,Club Brugge,12,3,4,,4,0
S221,M111,Antwerp,10,4,7,,0,0
S222,M111,Charleroi,10,4,2,,0,0
S223,M112,Oostende,12,7,2,,1,1
S224,M112,Waregem,14,6,10,,5,0
S225,M113,Charleroi,9,6,2,,2,0
S226,M113,Mechelen,9,6,3,,1,1
S227,M114,Eupen,9,5,4,,0,0
S228,M114,Antwerp,6,3,3,,5,0
S229,M115,Kortrijk,10,8,6,,3,1
S230,M115,St Truiden,10,4,10,,3,0
S231,M116,Mouscron,11,4,5,,0,0
S232,M116,Anderlecht,11,4,4,,1,0
S233,M117,Standard,8,3,8,,1,1
S234,M117,Oostende,4,1,3,,2,2
S235,M118,Club Brugge,16,9,8,,1,0
S236,M118,Waasland-Beveren,4,1,4,,1,0
S237,M119,Lokeren,3,3,1,,3,1
S238,M119,Gent,15,7,5,,4,0
S239,M120,Waregem,8,2,7,,1,0
S240,M120,Genk,9,3,3,,3,0
S241,M121,Gent,13,5,4,,1,0
S242,M121,Mouscron,7,5,4,,3,0
S243,M122,Antwerp,7,3,3,,2,0
S244,M122,Mechelen,12,5,6,,3,0
S245,M123,Oostende,9,6,8,,2,0
S246,M123,Eupen,6,2,5,,1,0
S247,M124,St Truiden,13,8,8,,2,0
S248,M124,Lokeren,0,0,2,,3,2
S249,M125,Waasland-Beveren,13,7,6,,1,0
S250,M125,Charleroi,6,4,4,,3,1
S251,M126,Anderlecht,12,7,7,,2,0
S252,M126,Kortrijk,6,0,2,,2,0
S253,M127,Club Brugge,10,6,11,,3,0
S254,M127,Waregem,5,3,1,,3,0
S255,M128,Genk,3,1,4,,3,0
S256,M128,Standard,5,4,1,,2,0
